question,answer
"Which Game of Thrones book includes the ""Red Wedding""?",A Storm of Swords
What are the colors associated with the two teams in the card game Codenames?,red and blue
What's the name of the postal worker on Mister Rogers' Neighborhood and also Daniel Tiger's Neighborhood?,Mister McFeely
What font is used on Cards Against Humanity cards?,Helvetica Neue 75 Bold
What is the capital city of Canada?,Ottawa
Which of these horror classics was published first?,Frankenstein
Which country won the first FIFA World Cup in 1930?,Uruguay
What is the symbol for the element sodium?,Na
Humans have seven vertebrae in their neck but how many are in a giraffe's neck?,seven
"According to Merriam-Webster what year was the word ""meme"" first used in print?",1976
"Which of the following did Crayola introduce as a ""new blue"" in 2017?",Bluetiful
I mean what even IS a sham exactly?,decorative pillow cover
Which one of these pieces of old crap can my guests use to make coffee?,percolator
According to WebMD approximately how big are bedbugs?,an apple seed
According to his website what does Bob Vila recommend I use to get the blood out of the lobby carpet?,liquid dish soap
"What the heck was that board game with the black and white disks that my cousin Crazy Donna, used to play?",Othello
"Who can I blame if my haunted gramophone plays ""Fur Elise""?",Beethoven
Just like my third cousin Torvald which of these famous dancers died when her scarf got tangled in the wheel of a car?,Isadora Duncan
What does it mean if our room service breakfast is à la carte?,individually priced items
What is a collier?,a coal miner
Which of the following does The Little Prince fall in love with on his little planet?,a rose
What's the name of the musical revue performed in Waiting For Guffman?,"Red, White and Blaine"
Which of the following is NOT one of the daughters of Shakespeare's King Lear?,Viola
"Which of these instruments does Dr. Teeth the bandleader from The Muppet Show, play?",keyboard
In artwhat is trompe l'oeil?,a visual illusion
What phrase is used to describe a downturn period of declining stock prices?,bear market
Which artist's tool did Patrick Swayze and Demi Moore make sexy in Ghost?,potter's wheel
According to the nursery rhyme how many whacks did Lizzie Borden give her mother?,40
What is a daguerreotype?,a photograph
Speaking of soft bones how did I get rickets?,lack of vitamin D
Who is Paul Hewson?,Bono
What was the name of author F. Scott Fitzgerald's famous wife?,Zelda
Which of the following is NOT traditionally in white chocolate?,cocoa nibs
What year was Kylie Jenner born?,1997
What was the first country that gave women the right to vote?,New Zealand
How many sides does a tetragon have?,4
"What does it mean when something is described as ""potable""?",you can drink it
What is the name of Elmo's goldfish?,Dorothy
What is Meg Ryan's character's screen name in You've Got Mail?,Shopgirl
How many pawns are on a fully set-up chessboard?,16
What is rocket?,arugula
Which of these is NOT a pear?,Hass
What controversial psychological study of prison life took place in 1971?,Stanford Prison Experiment
What's the French culinary term for having everything set up before you start cooking?,mise en place
Who is the little red-haired girl that Charlie Brown adores?,Heather
"What musical features the song ""And I Am Telling You I'm Not Going""?",Dreamgirls
What's another name for the foul-smelling titan arum?,corpse flower
Where is the skyscraper the Burj Khalifa?,Dubai
Which of the following is NOT something Rick Astley sang he's never gonna do?,...pass you by...
What part does H. Jon Benjamin play in Wet Hot American Summer?,a can of vegetables
Who is the youngest Darling in Peter Pan?,Michael
What do you call a group of alligators?,a congregation
Which mineral would hurt you the LEAST because it's the SOFTEST?,calcite
Who is NOT in the Paw Patrol?,Zoom
What sports team is Jason Mendoza on The Good Place a superfan of?,Jacksonville Jaguars
What is Cardi B's first name?,Belcalis
